Employee#,LastName,FirstName,Birthday,HourlyRate
10001,Garcia,Manuel III,10/11/1983,535.71
10002,Lim,Antonio,6/19/1988,357.14
10003,Aquino,Bianca Sofia,8/4/1989,357.14
10004,Reyes,Isabella,6/16/1994,357.14
10005,Hernandez,Eduard,9/23/1989,313.51
10006,Villanueva,Andrea Mae,2/14/1988,313.51
10007,San Jose,Brad,3/15/1996,255.80
10008,Romualdez,Alice,5/14/1992,133.93
10009,Atienza,Rosie,9/24/1948,133.93
10010,Alvaro,Roderick,3/30/1988,313.51
10011,Salcedo,Anthony,9/14/1993,302.53
10012,Lopez,Josie,1/14/1987,229.02
10013,Farala,Martha,1/11/1942,142.86
10014,Martinez,Leila,7/11/1970,142.86
10015,Romualdez,Fredrick,3/10/1985,318.45
10016,Mata,Christian,10/21/1987,255.80
10017,De Leon,Selena,2/20/1975,249.11
10018,San Jose,Allison,6/24/1986,133.93
10019,Rosario,Cydney,10/6/1996,133.93
10020,Bautista,Mark,2/12/1991,138.39
10021,Lazaro,Darlene,11/25/1985,138.39
10022,Delos Santos,Kolby ,2/26/1980,142.86
10023,Santos,Vella,12/31/1983,133.93
10024,Del Rosario,Tomas,12/18/1978,133.93
10025,Tolentino,Jacklyn,5/19/1984,142.86
10026,Gutierrez,Percival,12/18/1970,147.32
10027,Manalaysay,Garfield,8/28/1986,147.32
10028,Villegas,Lizeth,12/12/1981,142.86
10029,Ramos,Carol,8/20/1978,133.93
10030,Maceda,Emelia,4/14/1973,133.93
10031,Aguilar,Delia,1/27/1989,133.93
10032,Castro,John Rafael,2/9/1992,313.51
10033,Martinez,Carlos Ian,11/16/1990,313.51
10034,Santos,Beatriz,8/7/1990,313.51
